"PLOT.ID","ESG"
"AS-012","AW_-_Bottoms"
"GR-027","SAW_-_Finer_Uplands"
"MC-056","AW_-_Bottoms"
"MMS-098","SAW_-_Shallow_and_Deep_Rocky"
"OT-111","AW_-_Loamy_Uplands"
"OT-122","SAW_-_Shallow"
"PJ-156","SAW_-_Breaks"
"PJ-157","SAW_-_Shallow_and_Deep_Rocky"
"PJ-170","SAW_-_Shallow_and_Deep_Rocky"
"RI-206","SAC_-_Finer_Uplands"
"RI-207","SAW_-_Finer_Uplands"
"RI-210","SAW_-_Saline_Bottoms"
"RI-212","SAW_-_Finer_Uplands"
"SD-394","SAW_-_Shallow_and_Deep_Rocky"
"SD-396","AW_-_Deep_Rocky"
"SD-398","AW_-_Deep_Rocky"
"SS-254","SAW_-_Shallow_and_Deep_Rocky"
"SS-302","SAC_-_Loamy_Uplands"
"SS-315","SAW_-_Clay_Uplands"
"AS-002","SAC_-_Deep_Rocky"
"AS-008","SAW_-_Shallow_and_Deep_Rocky"
"MC-057","SAW_-_Shallow_and_Deep_Rocky"
"MMS-072","SAW_-_Finer_Uplands"
"MMS-097","SAW_-_Shallow"
"MMS-099","SAC_-_Finer_Uplands"
"OT-126","SAW_-_Outcrops"
"PJ-164","SAW_-_Very_Shallow"
"PJ-168","SAW_-_Very_Shallow"
"PP-176","SAW_-_Finer_Uplands"
"RI-195","SAW_-_Finer_Uplands"
"RI-208","SAW_-_Sandy_Uplands_and_Loamy_Uplands"
"RI-209","SAW_-_Bottoms"
"SD-333","SAW_-_Shallow"
"SD-395","AW_-_Breaks"
"SD-397","AW_-_Deep_Rocky"
"SD-405","AW_-_Saline_Hills"
"SD-409","AW_-_Saline_Uplands"
"SS-250","SAW_-_Very_Shallow"
"SS-253","SAW_-_Finer_Uplands"
"SS-296","SAW_-_Breaks"
"SS-298","SAW_-_Finer_Uplands"
"SS-301","SAW_-_Finer_Uplands"
"SS-304","SAW_-_Finer_Uplands"
"SS-314","SAC_-_Bottoms"
